AuthorityId,Country,Year,Family,SpeciesId,Species,sp_code,sp_n,sp_kg
"31a569c3-39e9-4bb6-b7e6-ae07f9451581","CK","2024","Acanthuridae","2446e451-1bb5-4767-a38a-1abd12b20168","Acanthurus pyroferus","C10","3",""
"31a569c3-39e9-4bb6-b7e6-ae07f9451581","CK","2024","Acanthuridae","b08976d0-dd40-42ff-a931-6b4c103325b8","Acanthurus triostegus","AQT","8","3"
"31a569c3-39e9-4bb6-b7e6-ae07f9451581","CK","2024","Acanthuridae","172dd2c8-2610-4ac1-9714-d57ce2bd4df7","Ctenochaetus striatus","TCV","6","1"
"31a569c3-39e9-4bb6-b7e6-ae07f9451581","CK","2024","Coryphaenidae","a95bfafe-92d9-4fe1-91f6-9caa840d7bdd","Coryphaena hippurus","DOL","3","54"
"31a569c3-39e9-4bb6-b7e6-ae07f9451581","CK","2024","Epinephelidae","9a5a86dd-6ddd-4875-8c2b-1a1f2087b272","Cephalopholis argus","CFF","1","1"
"31a569c3-39e9-4bb6-b7e6-ae07f9451581","CK","2024","Epinephelidae","bdf1cded-ce56-4c0a-89a0-effaf12d0223","Epinephelus corallicola","C22","11","3"
"31a569c3-39e9-4bb6-b7e6-ae07f9451581","CK","2024","Exocoetidae","c47831fe-2c3d-40e8-8556-fec308b929c9","Exocoetus volitans","","65","107"
"31a569c3-39e9-4bb6-b7e6-ae07f9451581","CK","2024","Istiophoridae","727774b0-3157-4e07-8bfd-6cb1c494257e","Makaira nigricans","","6","0"
"31a569c3-39e9-4bb6-b7e6-ae07f9451581","CK","2024","Kyphosidae","e07d0ca1-6c76-4760-b433-8aad13c3f91d","Kyphosus bigibbus","KYB","1","1"
"31a569c3-39e9-4bb6-b7e6-ae07f9451581","CK","2024","Labridae","e1fd25b7-53f5-4c30-a254-c68359c3f4ed","Epibulus brevis","","2","0"
"31a569c3-39e9-4bb6-b7e6-ae07f9451581","CK","2024","Lethrinidae","5136b954-0639-4a07-895f-c688a823bf4d","Lethrinus xanthochilus","LXN","2","0"
"31a569c3-39e9-4bb6-b7e6-ae07f9451581","CK","2024","Lutjanidae","91f199ea-77f9-4066-9965-85219699eee8","Lutjanus adetii","LDW","3","0"
"31a569c3-39e9-4bb6-b7e6-ae07f9451581","CK","2024","Lutjanidae","d791be4d-593f-42f0-9a97-8c8d2181b9fe","Lutjanus gibbus","LJG","39","19"
"31a569c3-39e9-4bb6-b7e6-ae07f9451581","CK","2024","Mugilidae","e5ae1f7f-ec12-4611-88ce-71753c850a08","Moolgarda sp.","G55","1","0"
"31a569c3-39e9-4bb6-b7e6-ae07f9451581","CK","2024","Mullidae","08e1979b-2a4f-443a-b870-ee3185e119c6","Mulloidichthys flavolineatus","MUV","","7"
"31a569c3-39e9-4bb6-b7e6-ae07f9451581","CK","2024","Nemipteridae","6dc12f72-fc62-494b-8c38-867dde8b69e0","Scaevius milii","","1","0"
"31a569c3-39e9-4bb6-b7e6-ae07f9451581","CK","2024","Scaridae","8c5fdf7c-c32f-4572-93de-658280e10818","Chlorurus microrhinos","C17","6","0"
"31a569c3-39e9-4bb6-b7e6-ae07f9451581","CK","2024","Scaridae","a76eb220-645d-4d20-8e02-59ebe6feb207","Scarus forsteni","USF","1","1"
"31a569c3-39e9-4bb6-b7e6-ae07f9451581","CK","2024","Scaridae","a6fab9a7-e5d6-4f51-807c-f88fa57fc316","Scarus schlegeli","C78","1","1"
"31a569c3-39e9-4bb6-b7e6-ae07f9451581","CK","2024","Scaridae","e9f995b8-704e-4699-a89d-ef1100be7171","Scarus sp.","USX","1","0"
"31a569c3-39e9-4bb6-b7e6-ae07f9451581","CK","2024","Scombridae","61c0abb0-11d0-408a-b7a1-07a5f2746394","Acanthocybium solandri","WAH","5","88"
"31a569c3-39e9-4bb6-b7e6-ae07f9451581","CK","2024","Scombridae","957e4ec8-b3e1-47be-9ef5-0a428d5a2e06","Katsuwonus pelamis","SKJ","1","8"
"31a569c3-39e9-4bb6-b7e6-ae07f9451581","CK","2024","Serranidae","eac7653b-9f1d-44df-84ee-f242aeb63f98","Epinephelides armatus","","1","0"
"31a569c3-39e9-4bb6-b7e6-ae07f9451581","CK","2024","Serranidae","343871f4-f79f-48d2-a109-89a8fe93eda6","Epinephelides sp.","","9","0"
"31a569c3-39e9-4bb6-b7e6-ae07f9451581","CK","2025","Exocoetidae","39c3605a-2899-4a84-8875-831a8b0b0d53","Exocoetus sp.","G32","100","100"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2021","Acanthuridae","581ebfd3-4342-4773-a40a-aa9d271f40f9","Naso unicornis","NAS","3","4"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2021","Lethrinidae","d7e88408-8b78-4e6f-a132-c08a376a7d07","Lethrinus amboinensis","LLB","1","3"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2021","Lethrinidae","a394c286-4381-411d-9f12-c4ec98de58b4","Lethrinus harak","LTK","7","3"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2021","Lethrinidae","0cfa1a3e-78ad-4d49-a3ba-fbd95ff6699b","Monotaxis grandoculis","MXG","2","2"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2021","Lutjanidae","91f199ea-77f9-4066-9965-85219699eee8","Lutjanus adetii","LDW","2","2"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2021","Lutjanidae","a98406a7-817c-403b-8b48-9dc4626dd457","Lutjanus argentimaculatus","RES","1","2"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2021","Lutjanidae","5b990302-2249-49c0-99a1-5ba911c5065d","Lutjanus bohar","LJB","2","1"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2021","Scaridae","492eb063-bff2-4518-a3a4-c90705034d49","Scarus altipinnis","C67","1","1"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Acanthuridae","ea99dfe9-1214-4771-9594-6062030a16c1","Acanthurus achilles","C01","1","1"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Acanthuridae","eeaa696e-69df-48a1-bc4a-b58f1d9eacb8","Acanthurus auranticavus","C02","1","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Acanthuridae","5d1f526e-1f88-4984-a0a2-76892186e138","Acanthurus lineatus","AQI","6","5"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Acanthuridae","dfccc43f-e6f1-4753-a7a1-5d5b6d54c184","Acanthurus olivaceus","AQV","17","4"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Acanthuridae","b08976d0-dd40-42ff-a931-6b4c103325b8","Acanthurus triostegus","AQT","1","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Acanthuridae","b2c60cd2-4201-4ab9-a32d-420d5a8562ee","Acanthurus xanthopterus","C11","6","4"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Acanthuridae","6b653336-414d-416f-8510-327dfb52e012","Naso annulatus","C44","1","3"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Acanthuridae","a12f4f93-c931-4c49-b717-4103f962ce24","Naso brevirostris","NAB","1","3"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Acanthuridae","b69faf06-0197-40b1-bb9e-f087786c6619","Naso hexacanthus","C47","1","3"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Acanthuridae","7f17a928-894b-42c4-842f-6ad1f71e1375","Naso tonganus","C49","1","2"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Acanthuridae","581ebfd3-4342-4773-a40a-aa9d271f40f9","Naso unicornis","NAS","43","60"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Balistidae","1cea2a46-fce7-40eb-bcae-91ced816397e","Balistoides viridescens","BDZ","1","3"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Balistidae","a3c9881d-3082-4908-b294-adf86168b362","Pseudobalistes flavimarginatus","UBV","2","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Belonidae","24bee632-6bd6-431e-b00c-22f6df4b9c18","Strongylura incisa","C81","2","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Caesionidae","9fcb9328-a306-4866-8ef5-7961a005eb16","Caesio caerulaurea","CJC","1","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Carangidae","1437d356-d73f-45c5-9a33-4162c109a237","Atule mate","TUM","2","1"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Carangidae","bef65d2d-6aaa-41ba-9991-315421233a84","Caranx ignobilis","NXI","6","23"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Carangidae","3ee52832-203e-4b13-a76a-abd546c7e1e0","Caranx melampygus","NXM","1","1"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Carangidae","6c272b4e-56b0-4fa2-9e9e-ba06c47de73f","Caranx papuensis","NXP","3","7"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Carangidae","1cda078a-f4b9-46ce-b757-765f81a31adb","Caranx sexfasciatus","CXS","1","1"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Carangidae","b10933b0-1bdf-4d40-bcb1-19b030863793","Ferdauia ferdau","CRF","1","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Carangidae","663db978-bc5b-4bef-97c7-b89c9acd8e27","Scomberoides lysan","OBY","1","1"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Carangidae","82c53a74-d498-44b2-af87-443470fd87e7","Selar crumenophthalmus","BIS","1","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Carangidae","ad85aa62-fa69-455b-b701-2bc840ae298b","Seriola rivoliana","YTL","1","4"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Chanidae","1b186c83-d5c7-4a28-bb16-a705af451335","Chanos chanos","MIL","6","12"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Coryphaenidae","a95bfafe-92d9-4fe1-91f6-9caa840d7bdd","Coryphaena hippurus","DOL","1","6"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Epinephelidae","9a5a86dd-6ddd-4875-8c2b-1a1f2087b272","Cephalopholis argus","CFF","1","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Epinephelidae","43ebe834-7d68-4006-90f4-5dd541b8f6c8","Epinephelus chlorostigma","EFH","1","3"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Epinephelidae","eb5c801a-2713-4f9d-bd76-c83faa235305","Epinephelus coeruleopunctatus","C21","4","11"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Epinephelidae","2d0da7a5-ff75-4750-a8c5-531232ee7ff3","Epinephelus coioides","ENI","2","5"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Epinephelidae","11119dac-0a90-40ad-af90-19ac8d888f2c","Epinephelus fasciatus","EEA","2","4"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Epinephelidae","24fe5314-6250-4cb9-a497-eb10cfe66eec","Epinephelus fuscoguttatus","EWF","3","6"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Epinephelidae","f82392d0-e23e-40e6-884b-cdfd290c8424","Epinephelus magniscuttis","EEJ","1","6"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Epinephelidae","bcfeab3b-6202-4751-b116-15385eaef0e4","Epinephelus malabaricus","","5","8"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Epinephelidae","7cab8cec-931e-4bd1-9197-64760b4411d7","Epinephelus merra","EER","2","1"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Epinephelidae","e83b28cd-a485-4782-8cb6-0b2afd831cac","Epinephelus polyphekadion","EEK","8","9"
